workerId,chart,data_size,true_percentage,error,responseTime
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,23,12,7970
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,62,3,11612
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,17,13,11673
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,62,3,9382
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,92,2,8606
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,8,7,8338
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,47,13,8402
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,83,2,7869
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,92,7,10448
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,38,13,5636
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,53,2,7544
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,83,8,10727
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,75,53,12,6080
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,77,3,5328
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,38,3,7357
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,83,7,6966
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,300,47,3,6509
550ed7fd1f162fca15593405ae3dd098e5d04883,PB,150,23,8,4239
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,17,53,6327
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,62,52,6864
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,23,3,8986
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,8,3,10342
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,47,37,4937
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,53,28,4133
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,77,67,5597
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,83,38,4948
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,92,77,5587
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,17,2,4712
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,38,23,7753
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,47,17,6682
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,62,42,4491
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,23,13,4450
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,77,57,5144
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,8,42,5065
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,62,32,6806
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,83,78,5822
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,38,2,12413
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,92,72,9803
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,8,82,4864
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,23,42,3475
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,38,8,3721
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,47,3,7729
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,83,63,5362
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,53,43,4732
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,300,17,23,4544
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,75,53,23,4550
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,92,47,4369
